"Hour", "Undervoltages", "Min Voltage", "Overvoltage", "Max Voltage", "Min Bus", "Max Bus", "LV Undervoltages", "Min LV Voltage", "LV Overvoltage", "Max LV Voltage", "Min LV Bus", "Max LV Bus"
1, 0, 0.985117233421632, 0, 1.04379259829205, 51, 83, 0, 0.992253182309149, 0, 1.00393142071956, 610, 610
2, 0, 0.988308419926611, 0, 1.04812262987997, 51, 83, 0, 0.995732253384355, 0, 1.00649326638697, 610, 610
3, 0, 0.989259683144502, 0, 1.04689717040254, 51, 83, 0, 0.996801123239329, 0, 1.00716331910416, 610, 610
4, 0, 0.99082230875888, 0, 1.04800008663444, 51, 83, 0, 0.99850660470955, 0, 1.00842202298692, 610, 610
5, 0, 0.991007682925234, 0, 1.0481309382531, 51, 83, 0, 0.998708984727306, 0, 1.00857144795595, 610, 610
6, 0, 0.989641534466122, 0, 1.04716688808794, 51, 83, 0, 0.997217555745103, 0, 1.00747059651588, 610, 610
7, 0, 0.989988831373427, 0, 1.04786752801313, 51, 83, 0, 1.00091404514506, 0, 1.01049620934645, 610, 610
8, 0, 0.987899366296177, 0, 1.04258215118984, 51, 83, 0, 1.00186778765823, 0, 1.01138128665671, 610, 610
9, 0, 0.98615604679503, 0, 1.04309164431573, 51, 83, 0, 1.00308869595334, 0, 1.01238856037762, 610, 610
10, 0, 0.989166042688945, 0, 1.04681285626181, 51, 300, 0, 1.01222901764816, 0, 1.01925238950799, 610, 610
11, 0, 0.992977596542352, 0, 1.04908093677747, 51, 300, 0, 1.02440956580013, 0, 1.02965713251334, 610, 610
12, 0, 0.992214774060157, 2, 1.0520871147095, 51, 300, 0, 1.02602728054277, 0, 1.03126698284965, 610, 610
13, 0, 0.994414917160735, 3, 1.05739137324524, 51, 300, 0, 1.03060739462337, 0, 1.03492196926651, 610, 610
14, 0, 0.994699175723577, 3, 1.05764982913441, 51, 300, 0, 1.03089277426648, 0, 1.03514524036236, 610, 610
15, 0, 0.993970444097203, 3, 1.05657953632742, 51, 300, 0, 1.02989485140375, 0, 1.03434950704535, 610, 610
16, 0, 0.991740513199386, 2, 1.05135846217575, 51, 300, 0, 1.02535494464281, 0, 1.03066056604373, 610, 610
17, 0, 0.987277759945248, 0, 1.03987157278435, 51, 300, 0, 1.01573575633577, 0, 1.02270036217471, 610, 610
18, 0, 0.98171103061407, 0, 1.03634783139788, 51, 300, 0, 1.00138510967047, 0, 1.01095602087308, 610, 610
19, 0, 0.979271686515314, 0, 1.03676318915921, 51, 83, 0, 0.988674661805412, 0, 1.00326341900393, 610, 610
20, 0, 0.979769067624368, 0, 1.04259717247795, 65, 83, 0, 0.989093753558746, 0, 1.005039514633, 610, 610
21, 0, 0.982777269905487, 0, 1.04600691809324, 65, 83, 0, 0.991635234932494, 0, 1.00690641401511, 610, 610
22, 0, 0.982779278269456, 0, 1.04600927324717, 65, 83, 0, 0.991636884004036, 0, 1.00690677999069, 610, 610
23, 0, 0.986485850554457, 0, 1.0438972912403, 65, 83, 0, 0.994862155079508, 0, 1.00924648319597, 610, 610
24, 0, 0.992028640719833, 0, 1.04700682152346, 65, 83, 0, 0.999709450737052, 0, 1.01269433397425, 610, 610
