Time, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", ""
11, -1318.03453743751, 1347.47316042309, 2420.78633396269, 2489.84393069513, 3318.37446430085, 1826.21737310245, 3318.37446430085, 3787.70101501493, 1722.43354338441, 262.494923692974, 426.321736303428, 13.4622417639796, 163.698928239842, 327.475798037081, 163.698928239842, 327.475798037081, 163.698928239842, 327.475798037081, 0, 0, 163.698928239842, 0, 163.698749804421, 0.000178435421713882, 158.960994685336, 1.79060237270122, 160.751596903604, 2.94715290081673, 4799.93947692928, -1.12265194393412, 4799.93947692928, 4799.93960821712, 163.698928239842, 0, 0, 0, 0, 0, 0, 163.698749804421, 0, 0, 0, 0, 0, 0, 0.000178435421713882, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3318.37446430085, 0, 0, 0, 0, 0, 0
12, -1696.78527074267, 1547.46772825005, 2420.78633396269, 2489.84393069513, 3489.62197406988, 1920.90959982841, 3489.62197406988, 3983.38489385902, 2311.22490724142, 851.929295052366, 804.065596392533, 70.6898284799159, 213.613132561615, 428.755988296132, 213.613132561615, 428.755988296132, 213.613132561615, 428.755988296132, 0, 0, 213.613132561615, 0, 213.612896486007, 0.000236075608784678, 208.450035731775, 1.90291889854762, 210.352954429174, 3.25994205683217, 5400.00671651113, 0.000996964302263223, 5400.00671651113, 5400.00671651122, 213.613132561615, 0, 0, 0, 0, 0, 0, 213.612896486007, 0, 0, 0, 0, 0, 0, 0.000236075608784678, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3489.62197406988, 0, 0, 0, 0, 0, 0
13, -2244.93795841906, 1663.5849959539, 2420.78633396269, 2794.14771905741, 3480.63002082778, 1916.18567638082, 3489.62197406988, 3983.38489385902, 2898.74220153735, 1436.48163400047, 1353.45522938637, 172.250333322817, 274.411740279223, 553.009999608178, 274.411740279223, 553.009999608178, 274.411740279223, 553.009999608178, 0, 0, 274.411740279223, 0, 274.411430667421, 0.000309611802498706, 269.363509438516, 1.825256974434, 271.188766154057, 3.22266451336313, 5999.9926590571, -0.00479542512181797, 5999.9926590571, 5999.99265905902, 274.411740279223, 0, 0, 0, 0, 0, 0, 274.411430667421, 0, 0, 0, 0, 0, 0, 0.000309611802498706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3480.63002082778, 0, 0, 0, 0, 0, 0
14, -2261.5290555177, 1654.61390747541, 2420.78633396269, 2802.18858247653, 3463.60641685142, 1906.62439517031, 3489.62197406988, 3983.38489385902, 2898.76919449675, 1436.22543135503, 1354.58520895477, 172.673777548725, 274.825712733226, 553.925608792346, 274.825712733226, 553.925608792346, 274.825712733226, 553.925608792346, 0, 0, 274.825712733226, 0, 274.82540235408, 0.000310379146077035, 269.831750836908, 1.80380890707378, 271.635559484648, 3.18984286943226, 5999.94398439938, -0.532493096894002, 5999.9926590571, 5999.99265905902, 274.825712733226, 0, 0, 0, 0, 0, 0, 274.82540235408, 0, 0, 0, 0, 0, 0, 0.000310379146077035, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3463.60641685142, 0, 0, 0, 0, 0, 0
15, -2176.17159466386, 1659.67990266497, 2420.78633396269, 2802.18858247653, 3496.07306145364, 1925.52441054012, 3496.07306145364, 3991.26184390447, 2842.5644801869, 1382.0520710907, 1289.51503429528, 154.244555252438, 267.677595285767, 539.174981064938, 274.825712733226, 553.925608792346, 267.677595285767, 539.174981064938, 0, 0, 274.825712733226, 0, 267.677294086267, 0.000301199500696819, 262.568837082138, 1.85346364407254, 264.422300473605, 3.25499361266206, 5940.12215294914, 2.25407770241093, 5999.9926590571, 5999.99265905902, 267.677595285767, 0, 0, 0, 0, 0, 0, 267.677294086267, 0, 0, 0, 0, 0, 0, 0.000301199500696819, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3496.07306145364, 0, 0, 0, 0, 0, 0
16, -1664.15792474794, 1569.31129054767, 2420.78633396269, 2802.18858247653, 3522.31355734539, 1938.69981222234, 3522.31355734539, 4020.60315850371, 2330.48148498036, 881.613309217555, 820.263317911857, 74.2102657845589, 213.529053368694, 428.411023289699, 274.825712733226, 553.925608792346, 213.529053368694, 428.411023289699, 0, 0, 274.825712733226, 0, 213.528818615869, 0.00023475282576503, 208.269151267107, 1.93435522148535, 210.203506287012, 3.32531232885702, 5399.9851263966, -0.149705695573095, 5999.9926590571, 5999.99265905902, 213.529053368694, 0, 0, 0, 0, 0, 0, 213.528818615869, 0, 0, 0, 0, 0, 0, 0.00023475282576503, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3522.31355734539, 0, 0, 0, 0, 0, 0
17, -565.661728719187, 1376.62746178562, 2420.78633396269, 2802.18858247653, 3515.3540037896, 1934.51035413827, 3522.31355734539, 4020.60315850371, 1161.71196023857, 0, 156.882445806174, 0, 118.993472091399, 235.529449896607, 274.825712733226, 553.925608792346, 118.993472091399, 235.529449896607, 0, 0, 274.825712733226, 0, 118.993354954423, 0.000117136975185997, 113.525528402962, 2.12120222288979, 115.646730515839, 3.34662443858437, 4200.00357852238, 0.00396197084979212, 5999.9926590571, 5999.99265905902, 118.993472091399, 0, 0, 0, 0, 0, 0, 118.993354954423, 0, 0, 0, 0, 0, 0, 0.000117136975185997, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3515.3540037896, 0, 0, 0, 0, 0, 0
18, 1003.19764903743, 1134.53962381003, 2420.78633396269, 2802.18858247653, 3358.6390145935, 1847.86507454595, 3522.31355734539, 4020.60315850371, 0, 0, 0, 0, 44.5547293205386, 84.9282147139191, 274.825712733226, 553.925608792346, 44.5547293205386, 84.9282147139191, 0, 0, 274.825712733226, 0, 44.5547122191267, 1.71014118704861E-005, 39.2337393798462, 2.24587424562375, 41.4796135925935, 3.07509862653315, 2400.00941255216, 0.0335905392824015, 5999.9926590571, 5999.99265905902, 44.5547293205386, 0, 0, 0, 0, 0, 0, 44.5547122191267, 0, 0, 0, 0, 0, 0, 1.71014118704861E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3358.6390145935, 0, 0, 0, 0, 0, 0
19, 2736.65542914734, 1115.38133485361, 2736.65542914734, 2955.22561914, 3279.04865377362, 1803.73781058947, 3522.31355734539, 4020.60315850371, 579.060830972285, 0, 880.039577341699, 0, 57.6216455495955, 113.626295029911, 274.825712733226, 553.925608792346, 57.6216455495955, 113.626295029911, 0, 0, 274.825712733226, 0, 57.6216348540832, 1.06955123504926E-005, 52.1336437145542, 2.54918318193543, 54.6828268660062, 2.93880798807698, 599.997733053098, -0.00166672000412291, 5999.9926590571, 5999.99265905902, 57.6216455495955, 0, 0, 0, 0, 0, 0, 57.6216348540832, 0, 0, 0, 0, 0, 0, 1.06955123504926E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3279.04865377362, 0, 0, 0, 0, 0, 0
20, 3286.28637368382, 1114.46265194233, 3286.28637368382, 3470.11601137977, 3206.60179216517, 1764.2722395929, 3522.31355734539, 4020.60315850371, 992.423190630322, 0, 1387.31289868183, 0, 79.7155875773919, 159.704137577832, 274.825712733226, 553.925608792346, 79.7155875773919, 159.704137577832, 0, 0, 274.825712733226, 0, 79.715556919676, 3.06577158364394E-005, 74.3152217145853, 2.60702181908495, 76.922243487823, 2.79331343185307, 0, 0, 5999.9926590571, 5999.99265905902, 79.7155875773919, 0, 0, 0, 0, 0, 0, 79.715556919676, 0, 0, 0, 0, 0, 0, 3.06577158364394E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3206.60179216517, 0, 0, 0, 0, 0, 0
21, 3154.0534141269, 1028.44737717478, 3286.28637368382, 3470.11601137977, 3080.79086839883, 1695.29825754488, 3522.31355734539, 4020.60315850371, 851.483060317653, 0, 1139.26648646508, 0, 73.2189778856022, 146.617027689087, 274.825712733226, 553.925608792346, 73.2189778856022, 146.617027689087, 0, 0, 274.825712733226, 0, 73.2189496063652, 2.82792369889086E-005, 68.2571787582703, 2.39039859582934, 70.6475773118109, 2.57137229455437, 0, 0, 5999.9926590571, 5999.99265905902, 73.2189778856022, 0, 0, 0, 0, 0, 0, 73.2189496063652, 0, 0, 0, 0, 0, 0, 2.82792369889086E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3080.79086839883, 0, 0, 0, 0, 0, 0
22, 3154.01080575953, 1028.42149540516, 3286.28637368382, 3470.11601137977, 3080.79426661963, 1695.27296855621, 3522.31355734539, 4020.60315850371, 851.408246303944, 0, 1139.15171030907, 0, 73.2162530564639, 146.611202331122, 274.825712733226, 553.925608792346, 73.2162530564639, 146.611202331122, 0, 0, 274.825712733226, 0, 73.2162247799251, 2.82765387888576E-005, 68.2550379553968, 2.38994269846457, 70.6449806115738, 2.57124416835133, 0, 0, 5999.9926590571, 5999.99265905902, 73.2162530564639, 0, 0, 0, 0, 0, 0, 73.2162247799251, 0, 0, 0, 0, 0, 0, 2.82765387888576E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3080.79426661963, 0, 0, 0, 0, 0, 0
23, 2980.56453178815, 919.689798015175, 3286.28637368382, 3470.11601137977, 2915.3913275925, 1604.44595345364, 3522.31355734539, 4020.60315850371, 665.481388464914, 0, 838.042760667252, 0, 65.2055711443949, 130.476368603388, 274.825712733226, 553.925608792346, 65.2055711443949, 130.476368603388, 0, 0, 274.825712733226, 0, 65.2055458228022, 2.53215927324726E-005, 60.7976844143404, 2.10618958049802, 62.903873956881, 2.30167186592114, 0, 0, 5999.9926590571, 5999.99265905902, 65.2055711443949, 0, 0, 0, 0, 0, 0, 65.2055458228022, 0, 0, 0, 0, 0, 0, 2.53215927324726E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2915.3913275925, 0, 0, 0, 0, 0, 0
24, 2719.99080201125, 759.672922276545, 3286.28637368382, 3470.11601137977, 2665.78289133374, 1467.37225805427, 3522.31355734539, 4020.60315850371, 386.062295223664, 0, 440.955350004619, 0, 54.2421464677334, 108.40000045276, 274.825712733226, 553.925608792346, 54.2421464677334, 108.40000045276, 0, 0, 274.825712733226, 0, 54.2421251233732, 2.13443602088847E-005, 50.5602932619081, 1.75397994047858, 52.3142731703415, 1.92785195303169, 0, 0, 5999.9926590571, 5999.99265905902, 54.2421464677334, 0, 0, 0, 0, 0, 0, 54.2421251233732, 0, 0, 0, 0, 0, 0, 2.13443602088847E-005, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2665.78289133374, 0, 0, 0, 0, 0, 0
